Player,Year,Pos,Team,BaseSalary,SigningBonus,Cap Hit,Salary%,Cash,AAV,CONT YR,CONT VALUE,Earnings,FA Year,Sign Year,Sign Age
Quincy Miller,2014,SF,DET,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$1,810,877",0,2014,21
Dahntay Jones,2014,SF,LAC,"$85,205",$0,"$53,838",0.001,"$85,205","$8,521",10,"$85,205","$17,726,873",0,2014,33
Nate Robinson,2014,PG,LAC,"$77,459",$0,"$53,838",0.001,"$77,459","$7,746",10,"$77,459","$23,802,489",0,2014,29
Nate Robinson,2014,PG,LAC,"$77,459",$0,"$53,838",0.001,"$77,459","$7,746",10,"$77,459","$23,802,489",0,2014,29
Lester Hudson,2014,PG,LAC,"$57,726",$0,"$53,838",0.001,"$57,726","$5,773",10,"$57,726","$271,649",0,2014,29
Jordan Hamilton,2014,SF,LAC,"$55,774",$0,"$53,838",0.001,"$55,774","$5,577",10,"$55,774","$3,484,328",0,2014,23
Jordan Hamilton,2014,SF,LAC,"$55,774",$0,"$53,838",0.001,"$55,774","$5,577",10,"$55,774","$3,484,328",0,2014,23
Tyrus Thomas,2014,PF,MEM,"$67,393",$0,"$53,838",0.001,"$67,393","$6,739",10,"$67,393","$11,422,561",0,2014,27
Michael Beasley,2014,SF,MIA,"$67,393",$0,"$53,838",0.001,"$67,393","$6,739",10,"$67,393","$26,063,876",0,2014,24
Michael Beasley,2014,SF,MIA,"$67,393",$0,"$53,838",0.001,"$67,393","$6,739",10,"$67,393","$26,063,876",0,2014,24
Henry Walker,2014,PG,MIA,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$311,639",0,2014,26
Henry Walker,2014,PG,MIA,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$311,639",0,2014,26
Kenyon Martin,2014,PF,MIL,"$85,205",$0,"$53,838",0.001,"$85,205","$8,521",10,"$85,205","$112,702,158",0,2014,36
Kenyon Martin,2014,PF,MIL,"$85,205",$0,"$53,838",0.001,"$85,205","$8,521",10,"$85,205","$112,702,158",0,2014,36
Christapher Johnson,2014,SF,MIL,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$856,347",0,2014,23
Christapher Johnson,2014,SF,MIL,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$856,347",0,2014,23
Toney Douglas,2014,SG,NOP,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$6,926,194",0,2014,27
Toney Douglas,2014,SG,NOP,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$6,926,194",0,2014,27
Elliot Williams,2014,SG,NOP,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$4,880,862",0,2014,24
Elliot Williams,2014,SG,NOP,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$4,880,862",0,2014,24
Louis Amundson,2014,PF,NYK,"$77,076",$0,"$53,838",0.001,"$77,076","$7,708",10,"$77,076","$9,632,667",0,2014,31
Louis Amundson,2014,PF,NYK,"$77,076",$0,"$53,838",0.001,"$77,076","$7,708",10,"$77,076","$9,632,667",0,2014,31
Lance Thomas,2014,SF,NYK,"$55,774",$0,"$53,838",0.001,"$55,774","$5,577",10,"$55,774","$2,071,475",0,2014,25
Lance Thomas,2014,SF,NYK,"$55,774",$0,"$53,838",0.001,"$55,774","$5,577",10,"$55,774","$2,071,475",0,2014,25
Earl Barron,2014,PF,PHX,"$77,076",$0,"$53,838",0.001,"$77,076","$7,708",10,"$77,076","$3,572,574",0,2014,32
Earl Barron,2014,PF,PHX,"$77,076",$0,"$53,838",0.001,"$77,076","$7,708",10,"$77,076","$3,572,574",0,2014,32
A.J. Price,2014,PG,PHX,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$4,277,484",0,2014,27
Jerel McNeal,2014,PG,PHX,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$179,394",0,2014,26
Quincy Miller,2014,SF,SAC,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$1,810,877",0,2014,21
Quincy Miller,2014,SF,SAC,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$1,810,877",0,2014,21
Reggie Williams,2014,SF,SAS,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$5,813,227",0,2014,27
Reggie Williams,2014,SF,SAS,"$62,552",$0,"$53,838",0.001,"$62,552","$6,255",10,"$62,552","$5,813,227",0,2014,27
Elliot Williams,2014,SG,UTA,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$4,880,862",0,2014,24
Elliot Williams,2014,SG,UTA,"$57,711",$0,"$53,838",0.001,"$57,711","$5,771",10,"$57,711","$4,880,862",0,2014,24
Christapher Johnson,2014,SF,UTA,"$53,838",$0,"$53,838",0.001,"$53,838","$5,384",10,"$53,838","$856,347",0,2014,23
Will Bynum,2014,PG,WAS,"$74,763",$0,"$53,838",0.001,"$74,763","$7,476",10,"$74,763","$16,593,650",0,2014,30
Tim Frazier,2014,PG,POR,"$50,734",$0,"$50,734",0.001,"$50,734","$447,902",2,"$895,803","$110,420",2016,2014,23
Chris Babb,2014,SG,BOS,"$48,028",$0,"$48,028",0.001,"$48,028","$497,652",2,"$995,304","$183,548",2016,2014,23
Dwight Buycks,2014,PG,LAL,"$62,437",$0,"$48,028",0.001,"$62,437","$6,244",10,"$62,437","$762,437",0,2014,24
Jorge Gutierrez,2014,PG,MIL,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$485,154",0,2014,25
Jorge Gutierrez,2014,PG,MIL,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$485,154",0,2014,25
Lorenzo Brown,2014,PG,MIN,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$365,015",0,2014,23
Lorenzo Brown,2014,PG,MIN,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$365,015",0,2014,23
Miroslav Raduljica,2014,C,MIN,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,848,098",0,2014,25
Miroslav Raduljica,2014,C,MIN,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,848,098",0,2014,25
Nate Wolters,2014,PG,NOP,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,412,538",0,2014,22
Nate Wolters,2014,PG,NOP,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,412,538",0,2014,22
Ricky Ledo,2014,SG,NYK,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,494,961",0,2014,20
Ricky Ledo,2014,SG,NYK,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,494,961",0,2014,20
Seth Curry,2014,SG,PHX,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$345,113",0,2014,23
Toure Murry,2014,SF,WAS,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,003,883",0,2014,24
Toure Murry,2014,SF,WAS,"$48,028",$0,"$48,028",0.001,"$48,028","$4,803",10,"$48,028","$1,003,883",0,2014,24
Jabari Brown,2014,SG,LAL,"$44,765",$0,"$44,765",0.001,"$44,765","$444,912",2,"$889,824","$104,451",2016,2014,21
Jorge Gutierrez,2014,PG,MIL,"$43,226",$0,"$43,226",0.001,"$43,226","$495,251",2,"$990,502","$485,154",2016,2014,25
Arinze Onuaku,2014,PF,MIN,"$43,226",$0,"$43,226",0.001,"$43,226","$43,226",1,"$43,226","$72,060",2015,2014,26
Ricky Ledo,2014,SG,NYK,"$38,423",$0,"$38,423",0.001,"$38,423","$492,850",2,"$985,699","$1,494,961",2016,2014,20
Jarell Eddie,2014,SF,ATL,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$29,843",0,2014,22
Andre Dawkins,2014,SG,BOS,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$277,542",0,2014,22
Andre Dawkins,2014,SG,BOS,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$277,542",0,2014,22
James McAdoo,2014,SF,GSW,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$261,808",0,2014,20
James McAdoo,2014,SF,GSW,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$261,808",0,2014,20
Jabari Brown,2014,SG,LAL,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$104,451",0,2014,21
Jabari Brown,2014,SG,LAL,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$104,451",0,2014,21
JaMychal Green,2014,PF,MEM,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$283,824",0,2014,23
JaMychal Green,2014,PF,MEM,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$283,824",0,2014,23
Tyler Johnson,2014,SG,MIA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$334,636",0,2014,21
Tyler Johnson,2014,SG,MIA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$334,636",0,2014,21
Sean Kilpatrick,2014,SG,MIN,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$64,843",0,2014,23
Langston Galloway,2014,PG,NYK,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$326,448",0,2014,22
Langston Galloway,2014,PG,NYK,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$326,448",0,2014,22
Larry Drew II,2014,PG,PHI,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$84,686",0,2014,23
Larry Drew II,2014,PG,PHI,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$84,686",0,2014,23
Tim Frazier,2014,PG,PHI,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$110,420",0,2014,23
Tim Frazier,2014,PG,PHI,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$110,420",0,2014,23
Sim Bhullar,2014,C,SAC,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$64,843",0,2014,21
David Stockton,2014,PG,SAC,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$41,780",0,2014,22
David Wear,2014,PF,SAC,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$29,843",0,2014,23
JaMychal Green,2014,PF,SAS,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$283,824",0,2014,23
Jerrelle Benimon,2014,PF,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$64,843",0,2014,22
Jack Cooley,2014,PF,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$187,357",0,2014,22
Jack Cooley,2014,PF,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$187,357",0,2014,22
Bryce Cotton,2014,PG,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$202,200",0,2014,21
Bryce Cotton,2014,PG,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$202,200",0,2014,21
Elijah Millsap,2014,SG,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$301,417",0,2014,26
Elijah Millsap,2014,SG,UTA,"$29,843",$0,"$29,843",0.0,"$29,843","$2,984",10,"$29,843","$301,417",0,2014,26
Lester Hudson,2014,PG,LAC,"$27,887",$0,"$27,887",0.0,"$27,887","$521,654",2,"$1,043,308","$271,649",2015,2014,29
Jerel McNeal,2014,PG,PHX,"$26,919",$0,"$26,919",0.0,"$26,919","$487,098",2,"$974,195","$179,394",2016,2014,26
Jamaal Franklin,2014,SG,DEN,"$19,211",$0,"$19,211",0.0,"$19,211","$483,244",2,"$966,487","$717,507",2015,2014,22
Vander Blue,2014,SG,LAL,"$14,409",$0,"$14,409",0.0,"$14,409","$14,409",1,"$14,409","$14,409",2015,2014,21
David Stockton,2014,PG,SAC,"$11,937",$0,"$11,937",0.0,"$11,937","$428,498",2,"$856,996","$41,780",2016,2014,22
Kobe Bryant,2015,SF,LAL,"$25,000,000",$0,"$25,000,000",0.35700000000000004,"$25,000,000","$24,250,000",2,"$48,500,000","$323,312,307",2016,2014,35
LeBron James,2015,SF,CLE,"$22,970,500",$0,"$22,970,500",0.32799999999999996,"$22,970,500","$23,487,337",2,"$46,974,673","$169,643,842",2017,2015,30
Carmelo Anthony,2015,SF,NYK,"$22,875,000",$0,"$22,875,000",0.327,"$22,875,000","$24,812,936",5,"$124,064,681","$176,561,279",2019,2014,29
Dwight Howard,2015,C,HOU,"$22,359,364",$0,"$22,359,364",0.319,"$22,359,364","$21,897,818",4,"$87,591,270","$163,555,486",2017,2013,27
Chris Bosh,2015,PF,MIA,"$22,192,730",$0,"$22,192,730",0.317,"$22,192,730","$23,741,060",5,"$118,705,300","$163,195,452",2019,2014,29
Chris Paul,2015,PG,LAC,"$21,468,696",$0,"$21,468,696",0.307,"$21,468,696","$21,468,695",5,"$107,343,477","$135,357,497",2018,2013,27
Kevin Durant,2015,SF,OKC,"$20,158,622",$0,"$20,158,622",0.28800000000000003,"$20,158,622","$17,832,627",5,"$89,163,134","$105,643,233",2016,2011,22
Derrick Rose,2015,PG,CHI,"$20,093,064",$0,"$20,093,064",0.287,"$20,093,064","$18,862,876",5,"$94,314,380","$94,173,650",2017,2012,23
Dwyane Wade,2015,SG,MIA,"$20,000,000",$0,"$20,000,000",0.28600000000000003,"$20,000,000","$20,000,000",1,"$20,000,000","$152,915,934",2016,2015,32
Brook Lopez,2015,C,BKN,"$19,689,000",$0,"$19,689,000",0.281,"$19,689,000","$21,165,675",3,"$63,497,025","$73,615,462",2018,2015,26
Kevin Love,2015,C,CLE,"$19,689,000",$0,"$19,689,000",0.281,"$19,689,000","$22,642,350",5,"$113,211,750","$77,683,969",0,2015,26
DeAndre Jordan,2015,C,LAC,"$19,689,000",$0,"$19,689,000",0.281,"$19,689,000","$21,904,013",4,"$87,616,050","$62,902,150",2019,2015,26
Marc Gasol,2015,C,MEM,"$19,689,000",$0,"$19,689,000",0.281,"$19,689,000","$22,642,350",5,"$113,211,750","$84,484,693",2020,2015,29
LaMarcus Aldridge,2015,PF,SAS,"$19,689,000",$0,"$19,689,000",0.281,"$19,689,000","$21,018,008",4,"$84,072,030","$104,357,858",0,2015,29
Blake Griffin,2015,PF,LAC,"$18,907,725",$0,"$18,907,725",0.27,"$18,907,725","$18,907,725",5,"$94,538,626","$75,204,260",2018,2013,23
Paul Millsap,2015,PF,ATL,"$18,671,659",$0,"$18,671,659",0.267,"$18,671,659","$20,072,033",3,"$60,216,100","$70,473,709",2018,2015,29
Paul George,2015,SF,IND,"$17,120,106",$0,"$17,120,106",0.245,"$17,120,106","$18,314,532",5,"$91,572,660","$43,077,299",2018,2014,23
Russell Westbrook,2015,PG,OKC,"$16,744,218",$0,"$16,744,218",0.239,"$16,744,218","$15,719,062",5,"$78,595,310","$76,183,700",2017,2012,23
Jimmy Butler,2015,SG,CHI,"$15,257,500","$1,150,000","$16,407,500",0.23399999999999999,"$19,857,500","$18,467,976",5,"$92,339,878","$24,867,796",2019,2015,25
Kyrie Irving,2015,PG,CLE,"$16,407,500",$0,"$16,407,500",0.23399999999999999,"$16,407,500","$18,868,625",5,"$94,343,126","$38,601,748",2019,2015,22
Wesley Matthews,2015,SG,DAL,"$16,407,500",$0,"$16,407,500",0.23399999999999999,"$16,407,500","$17,515,007",4,"$70,060,026","$48,416,632",2019,2015,28
Greg Monroe,2015,C,MIL,"$16,407,500",$0,"$16,407,500",0.23399999999999999,"$16,407,500","$17,145,838",3,"$51,437,513","$34,410,616",2018,2015,24
Enes Freedom,2015,C,OKC,"$16,407,500",$0,"$16,407,500",0.23399999999999999,"$16,407,500","$17,515,007",4,"$70,060,026","$34,503,097",2019,2015,22
Kawhi Leonard,2015,SF,SAS,"$16,407,500",$0,"$16,407,500",0.23399999999999999,"$16,407,500","$18,868,625",5,"$94,343,126","$24,393,256",2019,2015,23
Tobias Harris,2015,PF,DET,"$16,000,000",$0,"$16,000,000",0.22899999999999998,"$5,364,706","$16,000,000",4,"$64,000,000","$22,549,880",2019,2015,22
DeMarcus Cousins,2015,C,SAC,"$15,851,950",$0,"$15,851,950",0.226,"$15,851,950","$16,404,925",4,"$65,619,700","$45,690,236",2018,2014,23
John Wall,2015,PG,WAS,"$15,851,950",$0,"$15,851,950",0.226,"$15,851,950","$16,957,900",5,"$84,789,500","$53,569,075",0,2014,23
James Harden,2015,SG,HOU,"$15,756,438",$0,"$15,756,438",0.225,"$15,756,438","$15,756,438",5,"$78,782,188","$62,021,898",2018,2013,23
Roy Hibbert,2015,C,LAL,"$15,514,031",$0,"$15,592,216",0.223,"$15,592,216","$14,610,937",4,"$58,443,748","$65,253,287",2016,2012,25
Eric Gordon,2015,SG,NOP,"$15,514,031",$0,"$15,514,031",0.222,"$15,514,031","$14,591,391",4,"$58,365,563","$69,908,958",2016,2012,23
Klay Thompson,2015,SG,GSW,"$15,501,000",$0,"$15,501,000",0.221,"$15,501,000","$17,244,863",4,"$68,979,450","$24,828,549",2019,2015,24
Gordon Hayward,2015,SF,UTA,"$15,409,570",$0,"$15,409,570",0.22,"$15,409,570","$15,741,355",4,"$62,965,420","$40,712,517",2018,2014,23
Chandler Parsons,2015,SF,DAL,"$15,361,500",$0,"$15,361,500",0.21899999999999997,"$15,361,500","$15,361,500",3,"$46,084,500","$32,560,396",2017,2014,25
Goran Dragic,2015,PG,MIA,"$14,783,000",$0,"$14,783,000",0.21100000000000002,"$14,783,000","$17,000,450",5,"$85,002,250","$44,487,683",2020,2015,28
Khris Middleton,2015,SF,MIL,"$14,700,000",$0,"$14,700,000",0.21,"$14,700,000","$14,000,000",5,"$70,000,000","$16,877,719",2019,2015,23
Tristan Thompson,2015,C,CLE,"$14,260,870",$0,"$14,260,870",0.204,"$14,260,870","$16,400,000",5,"$82,000,000","$30,354,999",2020,2015,23
Draymond Green,2015,PF,GSW,"$14,260,870",$0,"$14,260,870",0.204,"$14,260,870","$16,400,000",5,"$82,000,000","$16,901,613",0,2015,24
Danilo Gallinari,2015,SF,DEN,"$14,000,000",$0,"$14,000,000",0.2,"$14,000,000","$15,050,000",3,"$45,150,000","$57,080,481",2018,2015,26
Reggie Jackson,2015,PG,DET,"$13,913,043",$0,"$13,913,043",0.19899999999999998,"$13,913,043","$16,000,000",5,"$80,000,000","$19,516,870",2020,2015,24
Andrew Bogut,2015,C,GSW,"$12,000,000",$0,"$13,800,000",0.19699999999999998,"$13,800,000","$12,000,000",3,"$36,000,000","$104,723,820",2017,2014,29
DeMarre Carroll,2015,SF,TOR,"$13,600,000",$0,"$13,600,000",0.19399999999999998,"$13,600,000","$14,500,000",4,"$58,000,000","$22,329,723",2019,2015,28
Al Jefferson,2015,C,CHA,"$13,500,000",$0,"$13,500,000",0.193,"$13,500,000","$13,500,000",3,"$40,500,000","$109,787,578",2016,2013,27
Eric Bledsoe,2015,PG,PHX,"$13,500,000",$0,"$13,500,000",0.193,"$13,500,000","$14,000,000",5,"$70,000,000","$33,604,069",0,2014,24
Brandon Knight,2015,PG,PHX,"$13,500,000",$0,"$13,500,000",0.193,"$13,500,000","$14,000,000",5,"$70,000,000","$24,589,677",2020,2015,23
Tony Parker,2015,PG,SAS,"$13,437,500",$0,"$13,437,500",0.192,"$13,437,500","$14,445,313",3,"$43,335,939","$130,944,997",2018,2015,32
Joakim Noah,2015,C,CHI,"$13,400,000",$0,"$13,400,000",0.191,"$13,400,000","$12,000,000",5,"$60,000,000","$68,173,633",2016,2011,25
Nicolas Batum,2015,SF,CHA,"$11,860,750","$375,000","$13,125,307",0.188,"$13,125,307","$11,530,375",4,"$46,121,500","$52,991,579",2016,2012,23
Tyson Chandler,2015,C,PHX,"$13,000,000",$0,"$13,000,000",0.18600000000000003,"$13,000,000","$13,000,000",4,"$52,000,000","$146,171,645",2019,2015,32
Nene Hilario,2015,C,WAS,"$13,000,000",$0,"$13,000,000",0.18600000000000003,"$13,000,000","$13,000,000",5,"$65,000,000","$120,211,944",2016,2011,28
Ricky Rubio,2015,PG,MIN,"$12,700,000",$0,"$12,700,000",0.18100000000000002,"$12,700,000","$13,750,000",4,"$55,000,000","$27,366,408",2019,2015,24
Robin Lopez,2015,C,CHI,"$12,650,000",$0,"$12,650,000",0.18100000000000002,$0,"$13,503,875",4,"$54,015,500","$37,118,889",2019,2015,26
Rudy Gay,2015,SF,SAC,"$12,403,101",$0,"$12,403,101",0.177,"$12,403,101","$13,333,333",3,"$40,000,000","$102,286,537",2018,2015,28
Serge Ibaka,2015,PF,OKC,"$12,250,000",$0,"$12,250,000",0.175,"$12,250,000","$12,350,000",4,"$49,400,000","$42,564,305",2017,2013,23
Nikola Pekovic,2015,C,MIN,"$12,100,000",$0,"$12,100,000",0.17300000000000001,"$12,100,000","$12,000,000",5,"$60,000,000","$48,932,049",2018,2013,26
Al Horford,2015,C,ATL,"$12,000,000",$0,"$12,000,000",0.171,"$12,000,000","$12,000,000",5,"$60,000,000","$75,183,554",2016,2011,24
Amir Johnson,2015,PF,BOS,"$12,000,000",$0,"$12,000,000",0.171,"$12,000,000","$12,000,000",2,"$24,000,000","$52,989,800",2017,2015,27
Kemba Walker,2015,PG,CHA,"$12,000,000",$0,"$12,000,000",0.171,"$12,000,000","$12,000,000",4,"$48,000,000","$22,199,401",2019,2015,24
Kyle Lowry,2015,PG,TOR,"$12,000,000",$0,"$12,000,000",0.171,"$12,000,000","$12,000,000",4,"$48,000,000","$51,635,966",2018,2014,27
Derrick Favors,2015,PF,UTA,"$11,750,000",$0,"$12,000,000",0.171,"$12,000,000","$11,737,500",4,"$46,950,000","$43,421,159",2018,2014,22
Andre Iguodala,2015,SF,GSW,"$11,710,456",$0,"$11,710,456",0.16699999999999998,"$11,710,456","$12,000,000",4,"$48,000,000","$107,552,550",2017,2013,28
Stephen Curry,2015,PG,GSW,"$11,370,786",$0,"$11,370,786",0.162,"$11,370,786","$11,000,000",4,"$44,000,000","$43,979,684",2017,2013,24
Nikola Vucevic,2015,C,ORL,"$11,250,000",$0,"$11,250,000",0.161,"$11,250,000","$13,250,000",4,"$53,000,000","$18,838,639",2019,2015,24
Thaddeus Young,2015,PF,BKN,"$11,235,955",$0,"$11,235,955",0.161,"$11,235,955","$13,500,000",4,"$54,000,000","$52,860,523",2019,2015,26
Kenneth Faried,2015,PF,DEN,"$11,235,955",$0,"$11,235,955",0.161,"$11,235,955","$12,500,000",4,"$50,000,000","$17,174,500",2019,2015,25
Marcin Gortat,2015,C,WAS,"$11,217,391",$0,"$11,217,391",0.16,"$11,217,391","$12,000,000",5,"$60,000,000","$55,419,050",2019,2014,29
Tyreke Evans,2015,SG,NOP,"$10,734,586",$0,"$10,734,586",0.153,"$10,734,586","$11,000,001",4,"$44,000,004","$49,880,638",2017,2013,23
Jrue Holiday,2015,PG,NOP,"$10,595,507",$0,"$10,595,507",0.151,"$10,595,507","$10,250,001",4,"$41,000,004","$37,431,554",2017,2013,22
Wilson Chandler,2015,SF,DEN,"$10,449,438",$0,"$10,449,438",0.149,"$10,449,438","$11,625,000",4,"$46,500,000","$39,573,212",2019,2015,27
Monta Ellis,2015,SG,IND,"$10,300,000",$0,"$10,300,000",0.147,"$10,300,000","$10,995,250",4,"$43,981,000","$81,397,240",2019,2015,29
Luol Deng,2015,SF,MIA,"$10,151,612",$0,"$10,151,612",0.145,"$10,151,612","$9,933,037",2,"$19,866,073","$99,118,719",2016,2014,28
DeMar DeRozan,2015,SG,TOR,"$9,500,000",$0,"$10,150,000",0.145,"$10,150,000","$9,500,000",4,"$38,000,000","$39,943,575",2017,2013,23
Danny Green,2015,SG,SAS,"$10,000,000",$0,"$10,000,000",0.14300000000000002,"$10,000,000","$10,000,000",4,"$40,000,000","$22,607,624",2019,2015,27
Zach Randolph,2015,PF,MEM,"$9,638,555",$0,"$9,638,555",0.138,"$9,638,555","$10,000,000",2,"$20,000,000","$162,235,800",2017,2015,33
Mike Conley,2015,PG,MEM,"$9,388,426",$0,"$9,588,426",0.13699999999999998,"$9,588,426","$8,000,000",5,"$40,000,000","$55,514,384",2016,2011,23
Rajon Rondo,2015,PG,SAC,"$9,500,000",$0,"$9,500,000",0.136,"$9,500,000","$9,500,000",1,"$9,500,000","$68,322,794",2016,2015,28
Alec Burks,2015,SG,UTA,"$9,213,484",$0,"$9,463,484",0.135,"$9,463,484","$10,500,000",4,"$42,000,000","$18,437,015",2019,2015,23
Jeff Green,2015,SF,LAC,"$9,200,000",$0,"$9,300,000",0.133,"$3,238,824","$8,800,000",4,"$35,200,000","$49,618,788",2016,2012,25
Omer Asik,2015,C,NOP,"$9,213,483",$0,"$9,213,483",0.132,"$9,213,483","$11,595,505",5,"$57,977,525","$37,553,482",2020,2015,28
Lance Stephenson,2015,SG,MEM,"$9,000,000",$0,"$9,000,000",0.129,"$2,911,765","$9,000,000",2,"$18,000,000","$21,268,902",2017,2014,23
Iman Shumpert,2015,SG,CLE,"$8,988,764",$0,"$8,988,764",0.128,"$8,988,764","$10,000,000",4,"$40,000,000","$16,201,060",2019,2015,24
Tiago Splitter,2015,PF,ATL,"$8,500,000",$0,"$8,800,000",0.126,"$8,500,000","$9,000,000",4,"$36,000,000","$38,349,512",2017,2013,27
Taj Gibson,2015,PF,CHI,"$8,500,000",$0,"$8,500,000",0.121,"$8,500,000","$8,250,000",4,"$33,000,000","$29,325,668",2017,2013,27
Kevin Garnett,2015,PF,MIN,"$8,500,000",$0,"$8,500,000",0.121,"$8,500,000","$8,250,000",2,"$16,500,000","$326,304,240",2017,2015,38
Ryan Anderson,2015,PF,NOP,"$8,500,000",$0,"$8,500,000",0.121,"$8,500,000","$8,500,000",4,"$34,000,000","$39,758,589",2016,2012,23
Brandon Jennings,2015,PG,ORL,"$8,344,497",$0,"$8,344,497",0.11900000000000001,"$2,797,861","$8,000,000",3,"$24,000,000","$33,686,273",2016,2013,23
Dirk Nowitzki,2015,PF,DAL,"$8,333,334",$0,"$8,333,334",0.11900000000000001,"$8,333,334","$8,333,333",3,"$25,000,000","$216,646,362",2017,2014,35
Corey Brewer,2015,SG,HOU,"$8,229,375",$0,"$8,229,375",0.11800000000000001,"$8,229,375","$7,806,971",3,"$23,420,913","$37,893,229",2018,2015,28
Trevor Ariza,2015,SF,HOU,"$8,193,030",$0,"$8,193,030",0.11699999999999999,"$8,193,030","$8,000,001",4,"$32,000,002","$59,767,594",2018,2014,28
Channing Frye,2015,PF,CLE,"$8,193,029",$0,"$8,193,029",0.11699999999999999,"$2,650,686","$8,000,000",4,"$32,000,000","$51,008,323",2018,2014,30
Al-Farouq Aminu,2015,SF,POR,"$8,042,895",$0,"$8,042,895",0.115,"$8,042,895","$7,500,000",4,"$30,000,000","$20,502,591",2019,2015,24
Jeff Teague,2015,PG,ATL,"$8,000,000",$0,"$8,000,000",0.114,"$8,000,000","$8,000,000",4,"$32,000,000","$30,555,440",2017,2013,24
